ID Pemesanan,Status Pesanan,Kode Pesanan Affiliate,Waktu Pemesanan,Waktu Terselesaikan,Waktu Klik,Nama Toko,ID Shop,Tipe toko.,ID Barang,Nama Barange,ID Model,Tipe Produk,ID Promosi,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Harga(Rp),Jumlah,Tipe Penawaran,Kampanye Partnerr,Nilai Pembelian(Rp),Jumlah Pengembalian Dana(Rp),Persentase Komisi Shopee pada Produk,Komisi Barang Shopee(Rp),Persentase Komisi XTRA pada Produk,Komisi XTRA Produk(Rp),Total Komisi per Produk(Rp),Komisi Shopee per Pesanan(Rp),Komisi XTRA per Pesanan(Rp),Total Komisi per Pesanan(Rp),Nama MCN Terhubung,ID Kontrak MCN,Persentase Biaya Manajemen MCN,Biaya Manajemen MCN(Rp),Persentase Pembagian Komisi Affiliate,Komisi Bersih Affiliate (Rp),Status Produk Affiliate,Catatan Produk,Tipe Pesanan,Status Pemebelian,Tag_link1,Tag_link2,Tag_link3,Tag_link4,Tag_link5,Platform
2606058DKTUGWC,Tertunda,234289502246259,2026-06-04 23:25:07,,2026-06-03 11:42:57,HasbyKids,1429444861,C2C(Non-CB),57560780145,Setelan Baju Kaos dan Celana Mihu Mihu Motif Gajah Thailand Anak Perempuan Usia 3-12 Tahun,380942160837,Normal Product,,Fashion Bayi & Anak,Pakaian Anak Perempuan,Jas & Setelan,42839,1,Komisi XTRA,,42839,,0.00%,0,10.00%,4283.9,4283.9,0,4283.9,4283.9,,0,0.00%,0,100.00%,4283.9,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,setelanbajukaosmihugajah,,,,,Facebook
2606058D61995Y,Tertunda,234289039236611,2026-06-04 23:17:19,,2026-06-04 17:05:00,HARTA ELEKTRO,1732250238,Preferred(Non-CB),48055268943,IC Regulator L7812 dengan Output 12v,410479935157,Normal Product,,Elektronik,Elektronik Lainnya,,3656,5,Komisi XTRA,,18280,,0.50%,91.4,1.50%,274.2,365.6,91.4,274.2,365.6,,0,0.00%,0,100.00%,365.6,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Facebook
2606058CN6FUCS,Tertunda,234288491243205,2026-06-04 23:07:54,,2026-06-04 23:06:37,Satu Keluarga Official Shop,494896079,Shopee Mall(Non-CB),20372366235,Satu Keluarga Gantungan Baju Belakang Pintu Multifungsi Tanpa Paku 7 Hook C789 Rak Gantung Dengan Tujuh Kaitan Steel Clothes Han,88590392229,Normal Product,,Perlengkapan Rumah,Organizer Rumah,Gantungan,17416,1,Komisi XTRA,,17416,,1.50%,261.24,0.50%,87.08,348.32,261.24,87.08,348.32,,0,0.00%,0,100.00%,348.32,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,setelangajahthaialand,,,,,Facebook
2606058CGQEBDR,Tertunda,234288324265725,2026-06-04 23:05:24,,2026-06-03 14:05:10,Lancar Jaya Packaging,309583462,Preferred(Non-CB),26401800204,Box Mika Tali Kraft Kotak Jinjing Kemasan Kue Cake Roti Rice Box Hampers,245957831679,Normal Product,,Buku & Alat Tulis,Pembungkus Kado & Kemasan,Kardus,3700,10,Komisi XTRA,,37000,,1.50%,555,0.50%,185,740,1125.9,375.3,1501.2,,0,0.00%,0,100.00%,1501.2,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,setelangajahthaialand,,,,,Facebook
2606058CGQEBDR,Tertunda,234288324265725,2026-06-04 23:05:24,,2026-06-03 14:05:10,Lancar Jaya Packaging,309583462,Preferred(Non-CB),26401800204,Box Mika Tali Kraft Kotak Jinjing Kemasan Kue Cake Roti Rice Box Hampers,245957831682,Normal Product,,Buku & Alat Tulis,Pembungkus Kado & Kemasan,Kardus,4020,3,Komisi XTRA,,12060,,1.50%,180.9,0.50%,60.3,241.2,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,setelangajahthaialand,,,,,Facebook
2606058CGQEBDR,Tertunda,234288324265725,2026-06-04 23:05:24,,2026-06-03 14:05:10,Lancar Jaya Packaging,309583462,Preferred(Non-CB),26363419606,[100 PCS] Pisau Brownies Roti Cake Kue Tart Ulang Tahun Pisau Plastik Kecil Pemotong Makanan,390110696625,Normal Product,,Perlengkapan Rumah,Perlengkapan Dapur,Pisau & Gunting Dapur,26000,1,Komisi XTRA,,26000,,1.50%,390,0.50%,130,520,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,setelangajahthaialand,,,,,Facebook
2606058CBYTXKU,Tertunda,234288166298410,2026-06-04 23:03:07,,2026-05-31 10:18:57,VOOVA Official Shop,513462614,Shopee Mall(Non-CB),47107070813,VOOVA Satuan dan Bundling Buku Stiker DIY Fashion Ganti Baju Sticker Dress Up Book/ Buku Stiker,292447660281,Normal Product,0_465575415661157_1,Buku & Majalah,Buku Bacaan,Stiker & Buku Mewarnai,20531.0691,1,Komisi XTRA,,18129.0691,,1.50%,271.93603,3.00%,543.87207,815.8081,708.40498,1349.23998,2057.64496,,0,0.00%,0,100.00%,2057.64496,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Instagram
2606058CBYTXKU,Tertunda,234288166298410,2026-06-04 23:03:07,,2026-05-31 10:18:57,VOOVA Official Shop,513462614,Shopee Mall(Non-CB),48960231458,VOOVA Buku Menggambar/ Buku Gambar A4/ Drawing Book For School/ Buku Gambar Anak/ Buku Gambar Polos A4,315897322046,Normal Product,0_465575415661157_1,Buku & Alat Tulis,Perlengkapan Menggambar,Buku Gambar & Sketsa,15583.93089,1,Komisi XTRA,,15583.93089,,1.50%,233.75896,3.00%,467.51792,701.27688,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Instagram
2606058CBYTXKU,Tertunda,234288166298410,2026-06-04 23:03:07,,2026-05-31 10:18:57,VOOVA Official Shop,513462614,Shopee Mall(Non-CB),25411802522,VOOVA DIY Buku Stiker Change Makeup Keterampilan Dekorasi/ Buku Aktivitas/ Buku Stiker DIY,147192932626,Normal Product,0_465575415661157_2,Buku & Alat Tulis,Buku Tulis & Kertas,Label & Stiker,8323.23794,1,Komisi XTRA,,8323.23794,,1.50%,124.84856,2.50%,208.08094,332.9295,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Instagram
2606058CBYTXKU,Tertunda,234288166298410,2026-06-04 23:03:07,,2026-05-31 10:18:57,VOOVA Official Shop,513462614,Shopee Mall(Non-CB),28240267108,VOOVA Buku Aktivitas Anak/ Buku Stiker Kreativitas/ Buku Stiker/ Sticker Book/ Buku Stiker Makeup,266181464545,Normal Product,0_465575415661157_2,Buku & Majalah,Buku Bacaan,Stiker & Buku Mewarnai,5190.76205,1,Komisi XTRA,,5190.76205,,1.50%,77.86143,2.50%,129.76905,207.63048,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Instagram
