Klik ID,Waktu Klik,Wilayah Klik,Tag_link,Perujuk
0da98f9d854991d18978e467b4e74ddd,2026-06-04 23:56:31,Indonesia,rakdapur3----,Others
2e3c9da9efcd6aea1b23b463da86639c,2026-06-04 23:56:25,Indonesia,rakdapur3----,Websites
1bbca0a998db2132678e500415789bb4,2026-06-04 23:55:29,-,Atayasetelankaosanak----,Facebook
a996a114405d643b6ac9c6f6b1632756,2026-06-04 23:54:09,-,rakdapur3----,Threads
5cda7a01a31b47c4bd9e1bba803783c7,2026-06-04 23:49:37,Indonesia,Atayasetelankaosanak----,Websites
f27d4d1d5e7c1bc2eba068df9ae51280,2026-06-04 23:49:13,Indonesia,rakdapur3----,Instagram
3a10d9babe75b2f525391bdd92399c3c,2026-06-04 23:48:12,Indonesia,Atayasetelankaosanak----,Instagram
505800b04cd828515695369b38e070ac,2026-06-04 23:45:21,Indonesia,Atayasetelankaosanak----,Others
14f3c236db265e231f90d238826a7605,2026-06-04 23:45:12,Indonesia,Atayasetelankaosanak----,Instagram
56c844b40950dbadce03066452396017,2026-06-04 23:44:49,Indonesia,Atayasetelankaosanak----,Facebook
3b52456e6f4a9de05ff8ccbedfd4873c,2026-06-04 23:44:48,Indonesia,rakdapur3----,Others
127112a8455cd7994c2cc7b315aa5d05,2026-06-04 23:44:44,Indonesia,Atayasetelankaosanak----,Websites
a106d9d4bdf5b147337e18486c886bb2,2026-06-04 23:44:27,Indonesia,Atayasetelankaosanak----,Instagram
b2651a2cfd418be576d0019b90a01473,2026-06-04 23:44:24,Indonesia,rakdapur3----,Threads
7e9f52112a3f03b4a4417c9def6524da,2026-06-04 23:44:24,Indonesia,rakdapur3----,Threads
f1c30cfc90dc8fdbcc4aa77d346c3c14,2026-06-04 23:43:22,Indonesia,Atayasetelankaosanak----,Facebook
f20d1df5ab8a7317a653331c9be7fcc9,2026-06-04 23:39:19,Australia,rakdapur3----,Threads
7f7deca4cf2f7498ff612ad75fd746d9,2026-06-04 23:37:50,Indonesia,rakdapur3----,Facebook
2541a99e9678a97e61f6648d70ec91fb,2026-06-04 23:37:01,Indonesia,Atayasetelankaosanak----,Facebook
2934f0545e5178d4762b964ece435dca,2026-06-04 23:34:27,Indonesia,Atayasetelankaosanak----,Instagram
e4d78828b07acc8c45015c7cb379e7a1,2026-06-04 23:34:21,Indonesia,rakdapur3----,Facebook
564fa01f26c6fea93b9f3d7e0303aade,2026-06-04 23:33:51,Indonesia,Atayasetelankaosanak----,Instagram
b7756b0120c7d59db140c8693e74d968,2026-06-04 23:32:40,Indonesia,Atayasetelankaosanak----,Facebook
2030e4aabdfc50c94fe708739856c190,2026-06-04 23:32:17,Indonesia,heels----,Facebook
a5c4e11cf7398bd495cffc7ceeea3ec7,2026-06-04 23:29:15,Indonesia,rakdapur3----,Facebook
10b74977f90e044e604a3f1cec79f89c,2026-06-04 23:29:03,Indonesia,rakdapur3----,Facebook
f41b4a2b306abcda7d69c8278074bf33,2026-06-04 23:28:37,Indonesia,rakdapur3----,Facebook
ee8b6e8479004c9ec60c277d98fc752d,2026-06-04 23:26:55,Indonesia,rakdapur3----,Facebook
0d98043f5e20620d8c932c5ec3720c68,2026-06-04 23:24:20,-,Atayasetelankaosanak----,Facebook
6126e7c0070b609c8cb4287513d1b114,2026-06-04 23:21:35,-,Atayasetelankaosanak----,Facebook
d5138afc3505393cf70fd1818e02c28c,2026-06-04 23:21:32,Indonesia,Atayasetelankaosanak----,Facebook
9f1a9c09a0c9949cd2f76970e6633c8a,2026-06-04 23:16:43,Indonesia,rakdapur3----,Others
91177fd4c04a7cb0284a6388fee54846,2026-06-04 23:15:31,Indonesia,rakdapur3----,Instagram
83030a00b2180445cbd7d14e9d0b6c55,2026-06-04 23:15:31,-,Atayasetelankaosanak----,Facebook
1722fa8dd16b945f1a79d2aaaf5185a0,2026-06-04 23:15:23,Indonesia,rakdapur3----,Others
90940a84aedc4db6e1a603dcbaa8644c,2026-06-04 23:14:09,Indonesia,rakdapur3----,Others
cf6844df2cdfe9550af56c2b106cff7c,2026-06-04 23:14:00,Indonesia,Atayasetelankaosanak----,Facebook
8e9c4bda3003f70e8a85690c3a7849c6,2026-06-04 23:13:48,-,rakdapur3----,Facebook
60177d9c380f10eb64cb58af020644bf,2026-06-04 23:13:47,Indonesia,Atayasetelankaosanak----,Facebook
e2b7f71f977d50b9977e8ffb132ff86f,2026-06-04 23:13:39,Indonesia,rakdapur3----,Others
d7bed183a1ec7b1063d713ef77c14881,2026-06-04 23:12:47,Indonesia,rakdapur3----,Instagram
c326450c887403a850791dedd9a7e8e9,2026-06-04 23:12:19,Indonesia,Atayasetelankaosanak----,Facebook
144f90d448628facb1322a8bf3eb6aca,2026-06-04 23:10:03,-,Atayasetelankaosanak----,Instagram
