ID Pemesanan,Status Pesanan,Kode Pesanan Affiliate,Waktu Pemesanan,Waktu Terselesaikan,Waktu Klik,Nama Toko,ID Shop,Tipe toko.,ID Barang,Nama Barange,ID Model,Tipe Produk,ID Promosi,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Harga(Rp),Jumlah,Tipe Penawaran,Kampanye Partnerr,Nilai Pembelian(Rp),Jumlah Pengembalian Dana(Rp),Persentase Komisi Shopee pada Produk,Komisi Barang Shopee(Rp),Persentase Komisi XTRA pada Produk,Komisi XTRA Produk(Rp),Total Komisi per Produk(Rp),Komisi Shopee per Pesanan(Rp),Komisi XTRA per Pesanan(Rp),Total Komisi per Pesanan(Rp),Nama MCN Terhubung,ID Kontrak MCN,Persentase Biaya Manajemen MCN,Biaya Manajemen MCN(Rp),Persentase Pembagian Komisi Affiliate,Komisi Bersih Affiliate (Rp),Status Produk Affiliate,Catatan Produk,Tipe Pesanan,Status Pemebelian,Tag_link1,Tag_link2,Tag_link3,Tag_link4,Tag_link5,Platform
260531RYCRPMUN,Tertunda,233858348273652,2026-05-30 23:39:15,,2026-05-30 22:02:51,Goldenesia,4766262,C2C(Non-CB),5332564492,Kondom Durex Mutual Pleasure - Isi 3,42634307915,Normal Product,,Kesehatan,Kesehatan Seksual,Kondom,31259,3,Komisi XTRA,,93777,,0.00%,0,0.50%,468.885,468.885,0,468.885,468.885,,0,0.00%,0,100.00%,468.885,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Instagram
260531RW90Y21T,Tertunda,233856075246365,2026-05-30 23:01:19,,2026-05-30 15:11:29,RAJA-HELM-11,187338576,Preferred(Non-CB),44100219234,HELM J5 J9 WARNA PUTIH XYZ MLA  100% ORI mla [ TERMURAH ],248403449863,Normal Product,,Sepeda Motor,Helm & Aksesoris Pengendara Motor,,164000,1,Komisi XTRA,,144900,,1.50%,2173.5,4.00%,5796,7969.5,2173.5,5796,7969.5,,0,0.00%,0,100.00%,7969.5,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Others
260530RTTWB883,Tertunda,233853454202688,2026-05-30 22:17:34,,2026-05-27 15:15:34,DATEUS,569646526,Preferred(Non-CB),51306977429,Memory Card Adaptor 4GB 8GB 16GB 32GB 64GB 128GB Micro SD Card penyimpanan Data,425623790857,Normal Product,,Handphone & Aksesoris,Aksesoris,Kartu Memori,53802,1,Komisi XTRA,,53502,,0.50%,267.51,0.50%,267.51,535.02,267.51,267.51,535.02,,0,0.00%,0,100.00%,535.02,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Instagram
260530RTJ5Y4PJ,Tertunda,233853161251554,2026-05-30 22:12:42,,2026-05-30 07:47:36,AMORANNISA SKINCARE,8979692,Preferred(Non-CB),41053570001,Amorannisa Retinol Glow Serum Skincare Anti Aging Kulit Kusam dan Flek,300297669054,Normal Product,,Perawatan & Kecantikan,Perawatan Wajah,Serum & Essence Wajah,65100,1,Komisi XTRA,,57288,,1.50%,859.32,4.00%,2291.52,3150.84,859.32,2291.52,3150.84,,0,0.00%,0,100.00%,3150.84,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Facebook
260530RRXYHH61,Tertunda,233851443234986,2026-05-30 21:44:03,,2026-05-28 14:43:01,SusuMurah1701,70305661,Preferred(Non-CB),44503008038,MAMYPOKO  Pants Tidak Gembung(Kemasan Jumbo) M.54/L.48/XL.40/XL.34,249116948028,Normal Product,,Ibu & Bayi,Popok & Pispot,Popok Sekali Pakai,71500,1,Komisi Shopee,,67925,,1.50%,1018.875,0.00%,0,1018.875,1018.875,0,1018.875,,0,0.00%,0,100.00%,1018.875,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,WallpaperDindingVinyl,,,,,Facebook
260530RRR9057P,Tertunda,233851218278987,2026-05-30 21:40:25,,2026-05-30 06:29:22,Etawa Mommy Official Store,355000893,Shopee Mall(Non-CB),44074411733,KALSIGROW Susu Tinggi Kalsium Peninggi Badan Alami Tulang Kuat Anak Remaja 1 Box,196314289363,Normal Product,,Makanan & Minuman,Susu & Olahan,Susu,137214,2,Komisi XTRA,,211337,,1.50%,3170.055,6.00%,12680.22,15850.275,3170.055,12680.22,15850.275,,0,0.00%,0,100.00%,15850.275,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Others
260530RRFMDXTW,Dibatalkan,233850928273034,2026-05-30 21:35:36,--,2026-05-30 21:29:35,PuriSehat!,1583761285,C2C(Non-CB),40215703691,PURI Rak Besi Siku 5/6 susun Rak baru tanpa baut rak susun besi serbaguna Rak gudang serbaguna Rak,271293885822,Normal Product,,Perlengkapan Rumah,Furniture,Rak & Rak Gantung,382800,0,Komisi XTRA,,0,341074,0.00%,0,3.50%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Dibatalkan,Pembeli membatalkan pesanan.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Facebook
260530RRD6670Y,Tertunda,233850846227284,2026-05-30 21:34:06,,2026-05-28 14:14:24,Happyfit Official Shop,31866518,Shopee Mall(Non-CB),26830358550,HAPPYFIT - All Day High Waist Pants,178798641846,Normal Product,,Pakaian Wanita,Celana Panjang & Legging,Celana Panjang,299000,1,Komisi XTRA,,254150,,1.50%,3812.25,3.00%,7624.5,11436.75,3812.25,7624.5,11436.75,,0,0.00%,0,100.00%,11436.75,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Instagram
260530RQ3G0VNH,Tertunda,233849447250089,2026-05-30 21:10:48,,2026-05-30 16:13:21,hokicase88,857121265,Preferred(Non-CB),42323667709,Case INFINIX SMART 7 SMART 6 HD SMART 6 SMART 5 SMART 4 SMART 6 RAM 3 SMART HD TERBARU motif spiderman keren case kekinian kesin,281923180335,Normal Product,,Handphone & Aksesoris,Aksesoris,Casing & Skin,10500,1,Komisi XTRA,,10500,,0.50%,52.5,0.50%,52.5,105,52.5,52.5,105,,0,0.00%,0,100.00%,105,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Instagram
260530RPWUR4SN,Tertunda,233849258228751,2026-05-30 21:07:38,,2026-05-28 14:56:53,Serba_Polos,748350337,Preferred(Non-CB),52601184075,KAOS DISTRO - KAOS The Big Family Persebaya 1927 Keren / KAOS Bonek Persebaya Surabaya Terbaru,325107581080,Normal Product,,Pakaian Pria,Atasan,Kaos,35200,1,Komisi Shopee,,33440,,1.50%,501.6,0.00%,0,501.6,501.6,0,501.6,,0,0.00%,0,100.00%,501.6,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Facebook
