ID klik,Waktu Klik,Wilayah Klik,Sub_id,Perujuk
a0c4aafddbee0a910886fcdfacbb4825,2026-06-02 23:47:11,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
b4042f6ed941f955700c059fb752a0d4,2026-06-02 23:42:55,Malaysia,studiolands-Leggingwanitacotton-fbads--,Websites
44ebf56512fad86183600341f853a80c,2026-06-02 23:31:50,Malaysia,studiolands-Leggingwanitacotton-fbads--,Instagram
1c9c9ad70c2dd5cd42bc7b2533fbcfef,2026-06-02 23:30:55,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
79f855f471b755416c7d63a62f0d1226,2026-06-02 23:12:19,Malaysia,studiolands-Leggingwanitacotton-fbads--,Others
eae12ee177fc139dcda7c8ad4cd83a6b,2026-06-02 23:12:05,Malaysia,studiolands-Leggingwanitacotton-fbads--,Others
2fded3ed87ca1dfbee282359b36e70c7,2026-06-02 23:11:10,Malaysia,studiolands-Leggingwanitacotton-fbads--,Others
b823633d2bb2fd9e469fac25bd2e5667,2026-06-02 23:10:37,Malaysia,studiolands-Leggingwanitacotton-fbads--,Others
0c45a9637f522efad66d370884fbea7c,2026-06-02 23:10:20,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
d68676d15587d515b06e6ec664ec6379,2026-06-02 22:55:44,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
d6b46582af86aebb65dd0463711237a5,2026-06-02 22:50:26,Malaysia,studiolands-Leggingwanitacotton-fbads--,Others
a528d87b717569bc30af2eca1b860e2c,2026-06-02 22:50:18,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
a3345921422fdc107b935475f27dd092,2026-06-02 22:48:06,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
4975fbf285fc25612c18f7aa4ecce34e,2026-06-02 22:43:24,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
5853e8b32490d818c3f23ad0f01f90cf,2026-06-02 22:39:45,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
2473b78e5277fe2df28f2ad2f0a40876,2026-06-02 22:38:42,Malaysia,studiolands-Leggingwanitacotton-fbads--,Others
a3859ac0f0a2688c024ae830e7f6c5e4,2026-06-02 22:34:38,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
b56199749216da887b23bbc01bd1e92a,2026-06-02 22:27:17,Malaysia,studiolands-Leggingwanitacotton-fbads--,Instagram
c0a77e54433abb0b4c2bba0798da3bf2,2026-06-02 22:15:50,Malaysia,studiolands-longsleeve-fbads--,Facebook
0a58de714d682462d3a1b7600be41c5e,2026-06-02 22:13:26,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
beb35ec5fc4942eb262f299e155838c0,2026-06-02 22:13:22,Malaysia,studiolands-Leggingwanitacotton-fbads--,Others
01cece5fb788174d0f618c8fe8c1a4d6,2026-06-02 22:12:48,Malaysia,studiolands-Leggingwanitacotton-fbads--,Others
2ab53e140cdab2cbbdaa7bd985ea12fa,2026-06-02 22:12:34,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
d12f28c1f0bff8867ffd8f7af902d431,2026-06-02 22:12:20,Malaysia,studiolands-Leggingwanitacotton-fbads--,Instagram
b438090b69bae02cddab9e33021f8c3e,2026-06-02 22:08:48,Malaysia,studiolands-Leggingwanitacotton-fbads--,Facebook
